2022-09-25 12:00:29.473 [ConsumeMessageThread_topic_transaction_ins_group_posting_12] ERROR [,] c.s.f.t.integration.urule.impl.URuleClientImpl - Invoke rule engine fail.
2022-10-25 12:00:34.461 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166671723417343481,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300005760762211
2022-10-25 12:00:34.549 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723426543521,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300007758644943
2022-10-25 12:00:34.551 [SOFA-SEV-BOLT-BIZ-12200-7-T76] ERROR [0a5254e1166671723453443641,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006453359207
2022-10-25 12:00:34.565 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723455043681,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300004160589771
2022-10-25 12:00:34.589 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723402843211,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001762735126
2022-10-25 12:00:34.807 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166671723460143841,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002860521623
2022-10-25 12:00:34.835 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723458743721,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006253323538
2022-10-25 12:00:34.855 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723460043821,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001062709304
2022-10-25 12:00:34.867 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723429843561,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300007164551783
2022-10-25 12:00:34.876 [SOFA-SEV-BOLT-BIZ-12200-7-T76] ERROR [0a5254e1166671723460043801,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300003757855020
2022-10-25 12:00:34.928 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723440543601,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009967305286
2022-10-25 12:00:35.001 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723494044061,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006153309873
2022-10-25 12:00:35.001 [SOFA-SEV-BOLT-BIZ-12200-7-T76] ERROR [0a5254e1166671723492144021,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000962698977
2022-10-25 12:00:35.018 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723498444141,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300007064540818
2022-10-25 12:00:35.018 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723472243881,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300007203584221
2022-10-25 12:00:35.030 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723496044121,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008968068096
2022-10-25 12:00:35.123 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723504644251,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006053295526
2022-10-25 12:00:35.132 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166671723511844361,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008768045735
2022-10-25 12:00:35.133 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723507444341,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000862684391
2022-10-25 12:00:35.159 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723504644261,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006964526461
2022-10-25 12:00:35.191 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166671723515244401,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300005953282450
2022-10-25 12:00:35.240 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723519144511,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006864516052
2022-10-25 12:00:35.240 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723518444441,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008668034823
2022-10-25 12:00:35.240 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166671723519144501,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000662658428
2022-10-25 12:00:35.257 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723523744561,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300005753259136
2022-10-25 12:00:35.274 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723525444621,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000562643517
2022-10-25 12:00:35.315 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723525644631,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006764501944
2022-10-25 12:00:35.325 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723528444721,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300004267655994
2022-10-25 12:00:35.333 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166671723526744681,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300005653247593
2022-10-25 12:00:35.339 [SOFA-SEV-BOLT-BIZ-12200-7-T76] ERROR [0a5254e1166671723501444161,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002157706893
2022-10-25 12:00:35.508 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723536444781,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000462629715
2022-10-25 12:00:35.575 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723539944881,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002667542380
2022-10-25 12:00:35.585 [SOFA-SEV-BOLT-BIZ-12200-7-T76] ERROR [0a5254e1166671723539944871,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001557651532
2022-10-25 12:00:35.588 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723487043981,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009660116902
2022-10-25 12:00:35.588 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723550644921,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300005553236505
2022-10-25 12:00:35.629 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723561945061,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000362618551
2022-10-25 12:00:35.635 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723561945071,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009560102291
2022-10-25 12:00:35.734 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723564245181,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009757480693
2022-10-25 12:00:35.734 [SOFA-SEV-BOLT-BIZ-12200-7-T76] ERROR [0a5254e1166671723561545041,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002067504448
2022-10-25 12:00:35.735 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723565245271,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300005353211688
2022-10-25 12:00:35.746 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723565145241,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000262605224
2022-10-25 12:00:35.752 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723565245261,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009460088599
2022-10-25 12:00:35.955 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723594445441,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300005153188086
2022-10-25 12:00:36.019 [SOFA-SEV-BOLT-BIZ-12200-7-T76] ERROR [0a5254e1166671723597445501,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009260060970
2022-10-25 12:00:36.020 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723596445461,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000162592274
2022-10-25 12:00:36.024 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166671723539944861,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002764021056
2022-10-25 12:00:36.048 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723598045541,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300005053173820
2022-10-25 12:00:36.125 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723578945411,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001766591376
2022-10-25 12:00:36.135 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723578945401,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006356770680
2022-10-25 12:00:36.141 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723604045601,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300003962058016
2022-10-25 12:00:36.144 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723604445611,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009160047747
2022-10-25 12:00:36.216 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723613846001,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006203268490
2022-10-25 12:00:36.234 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723621746131,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002861834864
2022-10-25 12:00:36.255 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723621946161,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006455408018
2022-10-25 12:00:36.264 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723614046021,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300004953162436
2022-10-25 12:00:36.341 [SOFA-SEV-BOLT-BIZ-12200-7-T38] ERROR [0a5254e1166671723625546251,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009060035189
2022-10-25 12:00:36.524 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723621746121,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000767420098
2022-10-25 12:00:36.535 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723633946321,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300004853150324
2022-10-25 12:00:36.615 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723634046341,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002661820458
2022-10-25 12:00:36.636 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723621946181,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001163882571
2022-10-25 12:00:36.676 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723662846401,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300004853150321
2022-10-25 12:00:36.677 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723666646481,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008960024999
2022-10-25 12:00:36.737 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723666046461,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002461786675
2022-10-25 12:00:36.737 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723667146501,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009667290604
2022-10-25 12:00:36.752 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723673446541,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002355157115
2022-10-25 12:00:36.771 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723675546691,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008860014616
2022-10-25 12:00:36.825 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723675546701,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002361771883
2022-10-25 12:00:36.845 [SOFA-SEV-BOLT-BIZ-12200-7-T38] ERROR [0a5254e1166671723675546681,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000852569285
2022-10-25 12:00:36.856 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723676146741,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009267256756
2022-10-25 12:00:36.916 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723686546871,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000563818603
2022-10-25 12:00:36.924 [SOFA-SEV-BOLT-BIZ-12200-7-T192] ERROR [0a5254e1166671723683446821,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009454915868
2022-10-25 12:00:36.931 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723691546981,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300007967148504
2022-10-25 12:00:36.976 [SOFA-SEV-BOLT-BIZ-12200-7-T35] ERROR [0a5254e1166671723691546961,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009252409323
2022-10-25 12:00:36.986 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723682346801,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008760000036
2022-10-25 12:00:36.994 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723691546971,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001561659024
2022-10-25 12:00:37.036 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723697147071,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000263770852
2022-10-25 12:00:37.110 [SOFA-SEV-BOLT-BIZ-12200-7-T192] ERROR [0a5254e1166671723698247121,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009353990879
2022-10-25 12:00:37.136 [SOFA-SEV-BOLT-BIZ-12200-7-T35] ERROR [0a5254e1166671723705447281,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000163758020
2022-10-25 12:00:37.136 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723703647181,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092600010003131300007152360205
2022-10-25 12:00:37.138 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723703547161,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300007867137036
2022-10-25 12:00:37.152 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723713047401,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300002959343475
2022-10-25 12:00:37.180 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723712847361,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001461645255
2022-10-25 12:00:37.315 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a5254e1166671723717147461,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300007767125189
2022-10-25 12:00:37.335 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723721547561,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008351975130
2022-10-25 12:00:37.335 [SOFA-SEV-BOLT-BIZ-12200-7-T35] ERROR [0a5254e1166671723721547571,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001959240951
2022-10-25 12:00:37.336 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a5254e1166671723717947521,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009253937404
2022-10-25 12:00:37.337 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723717647501,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000063746734
2022-10-25 12:00:37.345 [SOFA-SEV-BOLT-BIZ-12200-7-T38] ERROR [0a5254e1166671723730447621,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001361630890
2022-10-25 12:00:37.367 [SOFA-SEV-BOLT-BIZ-12200-7-T183] ERROR [0a5254e1166671723735547721,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300001859227845
2022-10-25 12:00:37.375 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a5254e1166671723736047881,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009053910669
